Number of nodes is 4039
Number of edges is 88234
Node - 233 Centrality - 0.000000
Node - 234 Centrality - 0.000000
Node - 235 Centrality - 0.325000
Node - 236 Centrality - 65.335696
Node - 237 Centrality - 0.750000
Node - 238 Centrality - 12.354004
Node - 239 Centrality - 150.374124
Node - 240 Centrality - 0.500000
Node - 241 Centrality - 0.000000
Node - 242 Centrality - 27.805195
Node - 243 Centrality - 3.811111
Node - 244 Centrality - 0.000000
Node - 245 Centrality - 1.500000
Node - 246 Centrality - 311.533238
Node - 247 Centrality - 0.500000
Node - 248 Centrality - 17.269842
Node - 249 Centrality - 26.232900
Node - 250 Centrality - 0.176923
Node - 251 Centrality - 3.210714
Node - 252 Centrality - 162.080270
Node - 253 Centrality - 0.333333
Node - 254 Centrality - 1.089033
Node - 255 Centrality - 0.000000
Node - 256 Centrality - 0.000000
Node - 257 Centrality - 13.587749
Node - 258 Centrality - 7.368853
Node - 259 Centrality - 2.250000
Node - 260 Centrality - 6.691667
Node - 261 Centrality - 57.066413
Node - 262 Centrality - 0.000000
Node - 263 Centrality - 0.166667
Node - 264 Centrality - 0.000000
Node - 265 Centrality - 19.725862
Node - 266 Centrality - 1.488835
Node - 267 Centrality - 0.000000
Node - 268 Centrality - 0.284144
Node - 269 Centrality - 830.164154
Node - 270 Centrality - 0.333333
Node - 271 Centrality - 224.102200
Node - 272 Centrality - 154.795458
Node - 273 Centrality - 0.000000
Node - 274 Centrality - 5.875601
Node - 275 Centrality - 1.500000
Node - 276 Centrality - 3.780337
Node - 277 Centrality - 320.076855
Node - 278 Centrality - 1.776190
Node - 279 Centrality - 0.000000
Node - 280 Centrality - 83.851359
Node - 281 Centrality - 4.685354
Node - 282 Centrality - 0.000000
Node - 283 Centrality - 1.092157
Node - 284 Centrality - 5.695177
Node - 285 Centrality - 4067.086720
Node - 286 Centrality - 0.000000
Node - 287 Centrality - 0.000000
Node - 288 Centrality - 0.031250
Node - 289 Centrality - 0.142857
Node - 290 Centrality - 1.215059
Node - 291 Centrality - 75.230702
Node - 292 Centrality - 0.000000
Node - 293 Centrality - 0.000000
Node - 294 Centrality - 0.250000
Node - 295 Centrality - 3.351465
Node - 296 Centrality - 0.166667
Node - 297 Centrality - 7.612886
Node - 298 Centrality - 0.292929
Node - 299 Centrality - 12.505393
Node - 300 Centrality - 0.842857
Node - 301 Centrality - 0.500000
Node - 302 Centrality - 5.703211
Node - 303 Centrality - 12.427975
Node - 304 Centrality - 4799.893342
Node - 305 Centrality - 0.000000
Node - 306 Centrality - 0.000000
Node - 307 Centrality - 1.000000
Node - 308 Centrality - 1449.508548
Node - 309 Centrality - 0.000000
Node - 310 Centrality - 9.849603
Node - 311 Centrality - 2.017157
Node - 312 Centrality - 52.555592
Node - 313 Centrality - 64.045908
Node - 314 Centrality - 8.366974
Node - 315 Centrality - 5355.549429
Node - 316 Centrality - 0.000000
Node - 317 Centrality - 3.226190
Node - 318 Centrality - 2.146761
Node - 319 Centrality - 2.700000
Node - 320 Centrality - 34.383405
Node - 321 Centrality - 0.000000
Node - 322 Centrality - 7853.296677
Node - 323 Centrality - 63.595145
Node - 324 Centrality - 2910.407738
Node - 325 Centrality - 33.881398
Node - 326 Centrality - 8.660354
Node - 327 Centrality - 0.000000
Node - 328 Centrality - 0.000000
Node - 329 Centrality - 110.810004
Node - 330 Centrality - 2.305538
Node - 331 Centrality - 16.461859
Node - 332 Centrality - 97.341114
Node - 333 Centrality - 0.728968
Node - 334 Centrality - 32.349557
Node - 335 Centrality - 0.000000
Node - 336 Centrality - 0.000000
Node - 337 Centrality - 1.300000
Node - 338 Centrality - 0.891776
Node - 339 Centrality - 2670.280936
Node - 340 Centrality - 0.543290
Node - 341 Centrality - 1.179639
Node - 342 Centrality - 29.113905
Node - 343 Centrality - 9.894877
Node - 344 Centrality - 3.420667
Node - 345 Centrality - 7.263474
Node - 346 Centrality - 45.125144
Node - 347 Centrality - 0.601923
Node - 348 Centrality - 309711.207132
Node - 414 Centrality - 388245.475981
Node - 428 Centrality - 524164.067776
Node - 1684 Centrality - 2753286.686908
Node - 1912 Centrality - 1868918.212257
Node - 2814 Centrality - 0.000000
Node - 2838 Centrality - 0.000000
Node - 2885 Centrality - 0.000000
Node - 3003 Centrality - 0.000000
Node - 3173 Centrality - 6357.491195
Node - 3290 Centrality - 2.517857
Node - 353 Centrality - 17447.348381
Node - 363 Centrality - 11839.970926
Node - 366 Centrality - 9585.080142
Node - 376 Centrality - 50498.873902
Node - 389 Centrality - 14804.871947
Node - 420 Centrality - 5696.098774
Node - 475 Centrality - 40741.246800
Node - 483 Centrality - 84019.614016
Node - 484 Centrality - 23624.686781
Node - 517 Centrality - 13638.475821
Node - 526 Centrality - 14632.100009
Node - 538 Centrality - 10469.753059
Node - 563 Centrality - 511702.996551
Node - 566 Centrality - 14568.555605
Node - 580 Centrality - 11746.145891
Node - 596 Centrality - 15615.348951
Node - 601 Centrality - 3480.628434
Node - 606 Centrality - 8127.724863
Node - 629 Centrality - 535.552460
Node - 637 Centrality - 12373.135049
Node - 641 Centrality - 4357.895575
Node - 649 Centrality - 450.613639
Node - 651 Centrality - 12973.167772
Node - 896 Centrality - 724.887343
Node - 897 Centrality - 137.866608
Node - 898 Centrality - 9.127321
Node - 899 Centrality - 0.000000
Node - 900 Centrality - 14.105316
Node - 901 Centrality - 6.121087
Node - 902 Centrality - 5.283253
Node - 903 Centrality - 9.223780
Node - 904 Centrality - 3.783333
Node - 905 Centrality - 26.147507
Node - 906 Centrality - 86.577082
Node - 907 Centrality - 13.349239
Node - 908 Centrality - 3141.717884
Node - 909 Centrality - 8.675000
Node - 910 Centrality - 0.000000
Node - 911 Centrality - 0.000000
Node - 912 Centrality - 6.808333
Node - 913 Centrality - 209.795881
Node - 914 Centrality - 9.247122
Node - 915 Centrality - 800.862001
Node - 916 Centrality - 5839.442400
Node - 917 Centrality - 2496.825795
Node - 918 Centrality - 0.000000
Node - 919 Centrality - 14.511568
Node - 920 Centrality - 12.044748
Node - 921 Centrality - 3112.294841
Node - 922 Centrality - 29.082397
Node - 923 Centrality - 6.567941
Node - 924 Centrality - 108.558120
Node - 925 Centrality - 6165.259353
Node - 926 Centrality - 9.748867
Node - 927 Centrality - 188.457494
Node - 928 Centrality - 0.222222
Node - 929 Centrality - 3.041642
Node - 930 Centrality - 1095.609965
Node - 931 Centrality - 14.287460
Node - 932 Centrality - 66.531527
Node - 933 Centrality - 31.701881
Node - 934 Centrality - 66.989331
Node - 935 Centrality - 3.042857
Node - 936 Centrality - 28.865974
Node - 937 Centrality - 0.700000
Node - 938 Centrality - 5.307369
Node - 939 Centrality - 14.818698
Node - 940 Centrality - 10.155325
Node - 941 Centrality - 115.346407
Node - 942 Centrality - 79.558508
Node - 943 Centrality - 7.775385
Node - 944 Centrality - 35.597846
Node - 945 Centrality - 0.000000
Node - 946 Centrality - 693.747936
Node - 947 Centrality - 154.584568
Node - 948 Centrality - 44.250626
Node - 949 Centrality - 16.121383
Node - 950 Centrality - 4.047651
Node - 951 Centrality - 884.291136
Node - 952 Centrality - 18.663215
Node - 953 Centrality - 346.151993
Node - 954 Centrality - 100.836329
Node - 955 Centrality - 1.708333
Node - 956 Centrality - 3.666667
Node - 957 Centrality - 77.535900
Node - 958 Centrality - 1.060058
Node - 959 Centrality - 18.966472
Node - 960 Centrality - 161.739481
Node - 961 Centrality - 48.863609
Node - 962 Centrality - 714.094281
Node - 963 Centrality - 43.947989
Node - 964 Centrality - 36.193607
Node - 965 Centrality - 2.432287
Node - 966 Centrality - 69.726937
Node - 967 Centrality - 321.887590
Node - 968 Centrality - 280.077063
Node - 969 Centrality - 6.927774
Node - 970 Centrality - 3.941540
Node - 971 Centrality - 15.764851
Node - 972 Centrality - 1.310804
Node - 973 Centrality - 79.535523
Node - 974 Centrality - 1.954502
Node - 975 Centrality - 21.866512
Node - 976 Centrality - 12.276349
Node - 977 Centrality - 21.803270
Node - 978 Centrality - 185.337018
Node - 979 Centrality - 0.642857
Node - 980 Centrality - 247.744312
Node - 981 Centrality - 9.132235
Node - 982 Centrality - 112.952660
Node - 983 Centrality - 19.788218
Node - 984 Centrality - 20.110871
Node - 985 Centrality - 0.903968
Node - 986 Centrality - 1.554340
Node - 987 Centrality - 8.609524
Node - 988 Centrality - 8.264129
Node - 989 Centrality - 12.236446
Node - 990 Centrality - 9067.578169
Node - 991 Centrality - 97.166925
Node - 992 Centrality - 6.708298
Node - 993 Centrality - 347.578460
Node - 994 Centrality - 56.849538
Node - 995 Centrality - 302.681516
Node - 996 Centrality - 3.448481
Node - 997 Centrality - 61.651652
Node - 998 Centrality - 2.532553
Node - 999 Centrality - 39.620585
Node - 1000 Centrality - 13.092435
Node - 1001 Centrality - 180.410193
Node - 1002 Centrality - 0.333333
Node - 1003 Centrality - 152.438798
Node - 1004 Centrality - 88.259960
Node - 1005 Centrality - 0.614654
Node - 1006 Centrality - 217.400352
Node - 1007 Centrality - 17.164418
Node - 1008 Centrality - 27.066396
Node - 1009 Centrality - 52.179859
Node - 1010 Centrality - 135.605335
Node - 1011 Centrality - 58.240493
Node - 1012 Centrality - 114.325813
Node - 1013 Centrality - 919.614915
Node - 1014 Centrality - 420.344947
Node - 1015 Centrality - 7.003505
Node - 1016 Centrality - 0.000000
Node - 1017 Centrality - 257.126561
Node - 1018 Centrality - 57.066943
Node - 1019 Centrality - 78.819162
Node - 1020 Centrality - 78.713540
Node - 1021 Centrality - 73.765328
Node - 1022 Centrality - 0.125000
Node - 1023 Centrality - 9.194444
Node - 1024 Centrality - 101.523082
Node - 1025 Centrality - 524.170743
Node - 1026 Centrality - 95.279850
Node - 1027 Centrality - 0.000000
Node - 1028 Centrality - 1963.770028
Node - 1029 Centrality - 5145.946228
Node - 1030 Centrality - 8.916667
Node - 1031 Centrality - 0.820280
Node - 1032 Centrality - 264.712325
Node - 1033 Centrality - 8.893427
Node - 1034 Centrality - 0.000000
Node - 1035 Centrality - 36.940723
Node - 1036 Centrality - 19.376693
Node - 1037 Centrality - 80.370767
Node - 1038 Centrality - 1.666667
Node - 1039 Centrality - 2.917457
Node - 1040 Centrality - 35.372336
Node - 1041 Centrality - 137.166568
Node - 1042 Centrality - 5.206774
Node - 1043 Centrality - 8.508333
Node - 1044 Centrality - 3.259997
Node - 1045 Centrality - 11.166667
Node - 1046 Centrality - 0.000000
Node - 1047 Centrality - 57.070685
Node - 1048 Centrality - 293.057033
Node - 1049 Centrality - 357.848017
Node - 1050 Centrality - 4.590909
Node - 1051 Centrality - 83.076275
Node - 1052 Centrality - 318.724848
Node - 1053 Centrality - 11.350000
Node - 1054 Centrality - 62.820766
Node - 1055 Centrality - 11.016374
Node - 1056 Centrality - 61.317086
Node - 1057 Centrality - 1.950000
Node - 1058 Centrality - 9.206696
Node - 1059 Centrality - 258.346973
Node - 1060 Centrality - 70.822839
Node - 1061 Centrality - 1.457576
Node - 1062 Centrality - 44.508620
Node - 1063 Centrality - 1.325746
Node - 1064 Centrality - 55.629831
Node - 1065 Centrality - 0.000000
Node - 1066 Centrality - 149.361792
Node - 1067 Centrality - 105.592694
Node - 1068 Centrality - 59.034058
Node - 1069 Centrality - 1.384087
Node - 1070 Centrality - 4345.564511
Node - 1071 Centrality - 0.000000
Node - 1072 Centrality - 13.519352
Node - 1073 Centrality - 10.070833
Node - 1074 Centrality - 5773.661843
Node - 1075 Centrality - 325.439730
Node - 1076 Centrality - 178.070771
Node - 1077 Centrality - 1267.050845
Node - 1078 Centrality - 397.391833
Node - 1079 Centrality - 78.392729
Node - 1080 Centrality - 320.740098
Node - 1081 Centrality - 6.212329
Node - 1082 Centrality - 20.384677
Node - 1083 Centrality - 100.352828
Node - 1084 Centrality - 2.193200
Node - 1085 Centrality - 1214577.758360
Node - 1086 Centrality - 4920.477966
Node - 1087 Centrality - 5.916642
Node - 1088 Centrality - 1053.987375
Node - 1089 Centrality - 5.825490
Node - 1090 Centrality - 6.169780
Node - 1091 Centrality - 17.732926
Node - 1092 Centrality - 33.498131
Node - 1093 Centrality - 3.855409
Node - 1094 Centrality - 6.267496
Node - 1095 Centrality - 67.785656
Node - 1096 Centrality - 0.000000
Node - 1097 Centrality - 10.499271
Node - 1098 Centrality - 4353.276478
Node - 1099 Centrality - 29.738334
Node - 1100 Centrality - 33.416055
Node - 1101 Centrality - 139.498530
Node - 1102 Centrality - 29.486460
Node - 1103 Centrality - 9.351576
Node - 1104 Centrality - 579.528358
Node - 1105 Centrality - 0.333333
Node - 1106 Centrality - 68.849613
Node - 1107 Centrality - 163.682783
Node - 1108 Centrality - 14.358798
Node - 1109 Centrality - 1676.078155
Node - 1110 Centrality - 293.532803
Node - 1111 Centrality - 0.125000
Node - 1112 Centrality - 17.716941
Node - 1113 Centrality - 64.162259
Node - 1114 Centrality - 696.781355
Node - 1115 Centrality - 4.395171
Node - 1116 Centrality - 4.793393
Node - 1117 Centrality - 148.305257
Node - 1118 Centrality - 7.197718
Node - 1119 Centrality - 0.000000
Node - 1120 Centrality - 57.589301
Node - 1121 Centrality - 28.194608
Node - 1122 Centrality - 134.749234
Node - 1123 Centrality - 116.215913
Node - 1124 Centrality - 339.013136
Node - 1125 Centrality - 84.586419
Node - 1126 Centrality - 7473.279187
Node - 1127 Centrality - 26.629457
Node - 1128 Centrality - 819.357278
Node - 1129 Centrality - 80.401732
Node - 1130 Centrality - 46.910874
Node - 1131 Centrality - 39.747531
Node - 1132 Centrality - 142.868362
Node - 1133 Centrality - 1.538462
Node - 1134 Centrality - 5.204701
Node - 1135 Centrality - 85.329843
Node - 1136 Centrality - 4248.826677
Node - 1137 Centrality - 4.844640
Node - 1138 Centrality - 17.892857
Node - 1139 Centrality - 11.632138
Node - 1140 Centrality - 6.594331
Node - 1141 Centrality - 5.061541
Node - 1142 Centrality - 25.857297
Node - 1143 Centrality - 19.448176
Node - 1144 Centrality - 7.217713
Node - 1145 Centrality - 0.000000
Node - 1146 Centrality - 481.385889
Node - 1147 Centrality - 1.666667
Node - 1148 Centrality - 251.394034
Node - 1149 Centrality - 85.621598
Node - 1150 Centrality - 16.341674
Node - 1151 Centrality - 5.025344
Node - 1152 Centrality - 7.880999
Node - 1153 Centrality - 124.815092
Node - 1154 Centrality - 6.785714
Node - 1155 Centrality - 310.173979
Node - 1156 Centrality - 85.090127
Node - 1157 Centrality - 0.583333
Node - 1158 Centrality - 173.872661
Node - 1159 Centrality - 168.044685
Node - 1160 Centrality - 231.492055
Node - 1161 Centrality - 37.774661
Node - 1162 Centrality - 2.400000
Node - 1163 Centrality - 48.358897
Node - 1164 Centrality - 2.189635
Node - 1165 Centrality - 25765.444301
Node - 1166 Centrality - 186.890324
Node - 1167 Centrality - 16.591527
Node - 1168 Centrality - 1.926190
Node - 1169 Centrality - 28.104640
Node - 1170 Centrality - 115.970933
Node - 1171 Centrality - 20474.884147
Node - 1172 Centrality - 106.601693
Node - 1173 Centrality - 7681.872072
Node - 1174 Centrality - 5.139910
Node - 1175 Centrality - 433.860497
Node - 1176 Centrality - 0.000000
Node - 1177 Centrality - 26.083333
Node - 1178 Centrality - 2384.683550
Node - 1179 Centrality - 468.977169
Node - 1180 Centrality - 16.403582
Node - 1181 Centrality - 33.948753
Node - 1182 Centrality - 1717.911430
Node - 1183 Centrality - 60.442648
Node - 1184 Centrality - 217.034081
Node - 1185 Centrality - 153.087717
Node - 1186 Centrality - 0.365027
Node - 1187 Centrality - 399.436363
Node - 1188 Centrality - 14.876144
Node - 1189 Centrality - 162.959884
Node - 1190 Centrality - 19.352444
Node - 1191 Centrality - 167.443532
Node - 1192 Centrality - 397.188376
Node - 1193 Centrality - 4382.454146
Node - 1194 Centrality - 1.000000
Node - 1195 Centrality - 23.236476
Node - 1196 Centrality - 452.654566
Node - 1197 Centrality - 1322.803019
Node - 1198 Centrality - 18.840588
Node - 1199 Centrality - 555.443582
Node - 1200 Centrality - 0.700000
Node - 1201 Centrality - 15.705601
Node - 1202 Centrality - 12.250000
Node - 1203 Centrality - 3.202020
Node - 1204 Centrality - 505.418782
Node - 1205 Centrality - 71.696163
Node - 1206 Centrality - 0.000000
Node - 1207 Centrality - 41.632467
Node - 1208 Centrality - 0.000000
Node - 1209 Centrality - 69.556971
Node - 1210 Centrality - 666.537837
Node - 1211 Centrality - 302.746837
Node - 1212 Centrality - 28.845473
Node - 1213 Centrality - 13.703686
Node - 1214 Centrality - 245.838073
Node - 1215 Centrality - 85.041354
Node - 1216 Centrality - 10.790518
Node - 1217 Centrality - 1980.201441
Node - 1218 Centrality - 5.142857
Node - 1219 Centrality - 27.250161
Node - 1220 Centrality - 2.183156
Node - 1221 Centrality - 420.485280
Node - 1222 Centrality - 368.304919
Node - 1223 Centrality - 75.686231
Node - 1224 Centrality - 0.000000
Node - 1225 Centrality - 20.510218
Node - 1226 Centrality - 1577.534551
Node - 1227 Centrality - 146.731865
Node - 1228 Centrality - 18.859491
Node - 1229 Centrality - 66.109387
Node - 1230 Centrality - 117.810080
Node - 1231 Centrality - 104.814632
Node - 1232 Centrality - 7.998544
Node - 1233 Centrality - 0.000000
Node - 1234 Centrality - 4.646909
Node - 1235 Centrality - 427.482860
Node - 1236 Centrality - 83.247419
Node - 1237 Centrality - 1508.284467
Node - 1238 Centrality - 674.110423
Node - 1239 Centrality - 0.579932
Node - 1240 Centrality - 23.906685
Node - 1241 Centrality - 16.022678
Node - 1242 Centrality - 93.785042
Node - 1243 Centrality - 138.377017
Node - 1244 Centrality - 8.637378
Node - 1245 Centrality - 51.664101
Node - 1246 Centrality - 108.515051
Node - 1247 Centrality - 45.794093
Node - 1248 Centrality - 5.500000
Node - 1249 Centrality - 2.049610
Node - 1250 Centrality - 231.292131
Node - 1251 Centrality - 1.146343
Node - 1252 Centrality - 0.000000
Node - 1253 Centrality - 0.000000
Node - 1254 Centrality - 2.666667
Node - 1255 Centrality - 324.366496
Node - 1256 Centrality - 180.710782
Node - 1257 Centrality - 20.619062
Node - 1258 Centrality - 83.231416
Node - 1259 Centrality - 123.145596
Node - 1260 Centrality - 21.603085
Node - 1261 Centrality - 124.905182
Node - 1262 Centrality - 0.000000
Node - 1263 Centrality - 3.666667
Node - 1264 Centrality - 1.000000
Node - 1265 Centrality - 29.946520
Node - 1266 Centrality - 14.252331
Node - 1267 Centrality - 64.002308
Node - 1268 Centrality - 37.070177
Node - 1269 Centrality - 121.588628
Node - 1270 Centrality - 0.000000
Node - 1271 Centrality - 47.981655
Node - 1272 Centrality - 206.384933
Node - 1273 Centrality - 233.897783
Node - 1274 Centrality - 1907.908176
Node - 1275 Centrality - 173.485020
Node - 1276 Centrality - 0.000000
Node - 1277 Centrality - 721.727939
Node - 1278 Centrality - 37.723562
Node - 1279 Centrality - 8.449734
Node - 1280 Centrality - 69.718558
Node - 1281 Centrality - 32.801712
Node - 1282 Centrality - 104.021977
Node - 1283 Centrality - 203.433508
Node - 1284 Centrality - 150.505145
Node - 1285 Centrality - 13.086398
Node - 1286 Centrality - 7.881556
Node - 1287 Centrality - 11.830744
Node - 1288 Centrality - 48.020139
Node - 1289 Centrality - 4842.565432
Node - 1290 Centrality - 111.342207
Node - 1291 Centrality - 70.350805
Node - 1292 Centrality - 21.099860
Node - 1293 Centrality - 7.700083
Node - 1294 Centrality - 27.790916
Node - 1295 Centrality - 1.533333
Node - 1296 Centrality - 48.240480
Node - 1297 Centrality - 0.750000
Node - 1298 Centrality - 44.557485
Node - 1299 Centrality - 17.416934
Node - 1300 Centrality - 290.056555
Node - 1301 Centrality - 1.450000
Node - 1302 Centrality - 59.442085
Node - 1303 Centrality - 71.188166
Node - 1304 Centrality - 79.172008
Node - 1305 Centrality - 363.153364
Node - 1306 Centrality - 23.239214
Node - 1307 Centrality - 1171.456324
Node - 1308 Centrality - 13.067288
Node - 1309 Centrality - 32.197294
Node - 1310 Centrality - 6.868498
